chromosome,position,cm
1,55550,0.0
1,254996,0.439456
1,564598,1.478148
1,750235,2.009238
1,785050,2.028035
1,957898,2.595322
1,1100217,2.743511
1,1124663,2.907643
1,1356550,3.061948
1,1425700,3.198939
1,1510801,3.233657
1,1644836,3.491003
1,1888193,3.584996
1,1981118,4.327904
1,2035379,4.445762
1,2214743,4.519686
1,2220649,4.63487
1,2299627,4.758114
1,2302911,4.855689
1,2339074,4.938711
1,2369498,5.18699
1,2747638,5.243498
1,2799480,5.332618
1,2806107,5.408082
1,2878366,5.489223
1,2880384,5.582398
1,2898515,5.702093
1,2989826,5.753532
1,3020246,5.944469
1,3055876,6.046787
1,3072692,6.211232
1,3109151,6.268272
1,3118326,6.420614
1,3149408,6.49301
1,3150696,6.545091
1,3165267,6.619694
1,3168280,6.700665
1,3264190,6.876303
1,3276374,7.095591
1,3329384,7.207133
1,3356795,7.430735
1,3404227,7.46517
1,3423467,7.570429
1,3456296,7.607596
1,3487126,7.780567
1,3494695,7.892526
1,3538835,8.10972
1,3572774,8.124294
1,3607520,8.458183
1,3679477,8.579049
1,3681681,8.731768
1,3781096,8.77576
1,3787749,8.87289
1,3999637,9.052152
1,4004250,9.165808
1,4009694,9.188381
1,4011639,9.344476
1,4019237,9.406869
1,4105139,9.551202
1,4111187,9.631933
1,4152715,9.691195
1,4156118,9.823804
1,4283315,9.966701
1,4299727,10.166855
1,4365275,10.279202
1,4368951,10.423993
1,4379209,10.432991
1,4380973,10.553291
1,4511667,10.687653
1,4517334,10.761466
1,4540795,10.801618
1,4544793,10.878701
1,4631266,10.959851
1,4749076,11.215024
1,4752960,11.357743
1,4768540,11.382878
1,4776974,11.481734
1,5000086,11.79733
1,5002457,11.938788
1,5017346,11.960819
1,5036549,12.107784
1,5039093,12.192532
1,5089015,12.231858
1,5091827,12.379096
1,5130281,12.404155
1,5137666,12.52075
1,5168663,12.619178
1,5310609,12.788158
1,5312366,12.904795
1,5318552,12.980811
1,5356607,13.048713
1,5358384,13.156109
1,5472489,13.291526
1,5536192,13.432103
1,5542017,13.587693
1,5572521,13.622976
1,5575158,13.741815
1,5630901,13.790155
1,5634851,13.9361
1,5640332,14.015526
1,5661009,14.047212
1,5664995,14.129452
1,5707762,14.26773
1,5709228,14.398665
1,5875340,14.863774
1,5902976,15.184923
1,5913621,15.230386
1,5915761,15.321143
1,6137403,15.427162
1,6145407,15.633001
1,6217859,15.724864
1,6222501,15.808862
1,6322936,15.959789
1,6345134,16.089418
1,6530435,16.159008
1,6561300,16.221619
1,6568870,16.325266
1,6638064,16.392361
1,6644723,16.440489
1,7035830,16.537475
1,7169066,16.640877
1,7173895,16.729039
1,7245922,16.782091
1,7250522,16.953045
1,7324547,16.991758
1,7362781,17.074536
1,7368829,17.143869
1,7487749,17.236011
1,7491320,17.358144
1,7507642,17.376095
1,7513025,17.504727
1,7603317,17.710633
1,7617555,17.95487
1,7708733,18.112501
1,7711426,18.211912
1,7909737,18.347306
1,7975789,18.465826
1,8196406,18.528849
1,8206130,18.657882
1,8348505,18.859951
1,8352398,18.948124
1,8372536,19.042906
1,8887937,19.146082
1,8985036,19.232079
1,8989235,19.316538
1,9049032,19.60501
1,9067142,19.626819
1,9070589,19.833162
1,9286018,20.092127
1,9292082,20.181249
1,9360236,20.321778
1,9367908,20.432499
1,9396718,20.469986
1,9415009,20.589383
1,9460746,20.68741
1,9476781,20.874179
1,9510526,20.981663
1,9512371,21.037515
1,9579964,21.22185
1,9688512,21.251175
1,9767817,21.44166
1,9891215,21.464187
1,9906803,21.60105
1,9964708,21.609256
1,9978247,21.711437
1,10479678,21.789188
1,10642793,21.893347
1,10654369,21.959715
1,10750919,22.039157
1,10771488,22.259507
1,10802252,22.323344
1,10815702,22.606692
1,10855315,22.712021
1,10874522,22.859649
1,10926127,22.963225
1,10936544,23.047268
1,10962372,23.067841
1,10968966,23.188114
1,10992104,23.212391
1,10995479,23.35851
1,11024353,23.407298
1,11032827,23.525089
1,11171226,23.663079
1,11383839,23.725483
1,11390336,23.819124
1,11703843,24.171036
1,11713563,24.312269
1,11774956,24.509061
1,11779499,24.595409
1,11815364,24.698923
1,11824303,24.857117
1,11907648,24.904085
1,11933640,24.989714
1,11986621,25.01605
1,11999556,25.086054
1,12105332,25.182057
1,12147753,25.335651
1,12157881,25.471184
1,12194451,25.678909
1,12202095,25.789569
1,12262690,25.885555
1,12268721,26.022845
1,12279581,26.122129
1,12600396,26.229713
1,12603808,26.338811
1,12645497,26.421469
1,12654035,26.505436
1,12686912,26.583495
1,12689692,26.669627
1,12722411,26.850396
1,12778345,26.953677
1,12779618,27.026387
1,12866590,27.080903
1,12899930,27.175931
1,13384058,27.396889
1,13807146,28.204497
1,13814103,28.336468
1,13841295,28.52251
1,13843653,28.593594
